"stationId","name","lat","lon"
"509","Revontulentie","60.171551","24.802938"
"1065","Tapaninkyläntie","60.2658549","24.9732547"
"1063","Tasetie","60.2899626","24.9680763"
"1059","Teknobulevardi","60.3046698","24.9659589"
"751","Vallipolku","60.227827","24.819614"
"631","Friisilänaukio","60.162842","24.721367"
"1057","Avia-aukio","60.30255","24.9547822"
"511","Sateentie","60.173424","24.810688"
"753","Linnuntie","60.234401","24.813954"
"633","Avaruuskatu","60.168971","24.724908"
"1055","Karhumäenportti","60.3054333","24.9588308"
"513","Hakalehto","60.173567","24.79139"
"755","Kutsuntatie","60.230453","24.824561"
"635","Kuunkatu","60.172673","24.726025"
"515","Oravannahkatori","60.175769","24.792559"
"757","Painiitty","60.235089","24.831397"
"637","Ruomelantie","60.174524","24.729314"
"517","Länsituuli","60.175358","24.802049"
"518","Tuulimäki","60.174144","24.806051"
"639","Itäportti","60.174914","24.738122"
"519","Tapionaukio","60.176168","24.805825"
"761","Mäkkylän asema","60.220467","24.83939"
"641","Komeetankatu","60.167216","24.735969"
"521","Kulttuuriaukio","60.177588","24.803942"
"763","Kalkkipellonmäki","60.220551","24.833536"
"643","Auringonkatu","60.171548","24.731472"
"523","Ahertajantie","60.17875","24.797984"
"645","Piispankallio","60.168441","24.743532"
"525","Mäntyviita","60.178702","24.810974"
"767","Ruutikatu","60.223377","24.820635"
"647","Lystimäki","60.172814","24.745666"
"527","Otsolahti","60.178655","24.817423"
"769","Lumivaarantie","60.204669","24.814268"
"649","Lystimäensilta","60.17471","24.752442"
"529","Keilaniemi (M)","60.175233","24.82895"
"651","Suurpellonaukio","60.184596","24.744131"
"531","Keilaranta","60.178762","24.835132"
"532","Betonimies","60.180027","24.831804"
"653","Lukutori","60.186645","24.743197"
"533","Tekniikantie","60.180806","24.824747"
"537","Innopoli","60.185096","24.81422"
"538","Hagalundinpuisto","60.18363","24.817403"
"539","Aalto-yliopisto (M), Tietotie","60.184987","24.820099"
"541","Aalto-yliopisto (M), Korkeakouluaukio","60.184312","24.826671"
"543","Otaranta","60.18483","24.837133"
"545","Sähkömies","60.188499","24.829985"
"547","Jämeräntaival","60.188118","24.835033"
"549","Maarinranta","60.187529","24.810193"
"551","Tietäjä","60.189143","24.807083"
"553","Metsänneidonpolku","60.186731","24.806152"
"555","Kalevalantie","60.184765","24.804022"
"557","Louhentori","60.18715","24.796959"
"559","Pohjankulma","60.18288","24.794014"
"561","Koivu-Mankkaa","60.182976","24.78576"
"200","Länsiterminaali","60.150395628620245","24.915862667368163"
"563","Mankkaanlaaksontie","60.188706","24.780478"
"201","Länsisatamankuja","60.15693191359567","24.912200440174857"
"202","Merihaka","60.17806592826971","24.958452215046275"
"565","Mankkaanaukio","60.194599","24.769021"
"203","Opastinsilta","60.199235425819","24.937826370875783"
"204","A.I. Virtasen aukio","60.205577","24.962152"
"205","Ilmalan asema","60.206626437691405","24.922219888430064"
"206","Ruskeasuon varikko","60.20767995961701","24.898667890628126"
